,0,1,2,3,4,5,6,7,8,9
0,nursing bsn,theoretical physics,associates degree,economics,illustration,criminal justice,human services,history major,business management,medicine
1,japanese,bachelor of arts,nursing,philosophy,massage therapy,theatre,music,history,english literature,bfa acting
2,spanish,fashion design,special education,international relations,fine art,english literature,midwifery,criminology,aaot,civil engineering
3,bachelor of science in nursing,fashion design,general studies,education,history,psychology,biology,nursing,theatre,special education
4,early childhood education,biology,political science,accounting,bshrm,elementary education,nursing,medicina,accounting,cosmetology
5,general education,communication studies,computers,sociology,biotechnology,political science,english,criminal justice,biology,massage therapy
6,psychology,broadcast journalism,physics,math education,human resource management,psychology,social work,interior design,chemistry,nursing
7,english,biology,business,health science,sociology,biochemistry,biology,photography,ict,business
8,mass communications,accounting,nursing,drama,pre-engineering,political science,graphic design,medical,medical assisting,psychology
9,health science,economics,political science,psychology,biochemistry,sociology,integrative biology,criminal justice,psychology,biochemistry
10,dental assisting,illustration,psychology,musicology,music theory,criminal justice,psychology,international relations,biological sciences,ba psychology
11,architecture,hvacr,bsn,diploma in nursing,arquitectura,accounting,fashion merchandising,human resource management,nursing,biologychemistry
12,nursing,human services,spanish,business,nursing,sports management,philosophy,special education,psychology,psychology
13,psychology,criminal justice,social science,education,history,paralegal,piano,nursing,astrophysics,animation
14,llb,legal studies,pre-law,film studies,social studies education,paralegal,bachelor of commerce,bible,bachelor of science in information technology,physics
15,law enforcement,bachelor of science in nursing,audio production,music performance,biology,nursing,fine art,accounting,elementary education,associates
