userID,concentration_id,name
0,659,medical billing and coding
1,517,history
2,43,anthropology
3,272,communication
4,580,journalism
5,754,philosophy
6,16,accounting and finance
7,770,political science
8,868,spanish
9,358,early childhood
10,545,human services
11,398,english
12,314,creative writing
13,42,animation
14,449,fine art
15,438,fashion merchandising
16,816,public administration
17,316,criminal justice
18,832,registered nurse
19,388,elementary education
20,767,poetry
21,174,biology
22,55,art
23,834,religion
24,806,psychology
25,545,human services
26,231,business management
27,116,bachelor of business administration
28,276,communication disorders
29,14,accounting
30,465,forestry
31,231,business management
32,754,philosophy
33,536,hrm
34,806,psychology
35,770,political science
36,424,esthetics
37,806,psychology
38,905,theatre
39,517,history
40,609,lpn
41,231,business management
42,617,marketing
43,622,mass communication
44,396,engineering
45,953,writing
46,759,physical education
47,871,special education
48,726,nursing
49,221,business
50,369,economics
51,99,b.com
52,16,accounting and finance
53,221,business
54,806,psychology
55,314,creative writing
56,848,secondary education social studies
57,726,nursing
58,806,psychology
59,517,history
60,347,digital media
61,59,art foundation
62,187,bs biology
63,754,philosophy
64,591,law
65,605,literature
66,261,civil engineering
67,905,theatre
68,576,japanese studies
69,247,chemistry
70,772,political sciencepre-law
71,534,hotel management
72,568,international business
73,400,english and philosophy
74,350,diploma in nursing
75,517,history
76,737,paralegal
77,545,human services
78,322,criminology
79,517,history
80,754,philosophy
81,754,philosophy
82,806,psychology
83,231,business management
84,121,bachelor of engineering
85,637,maths
86,419,environmental science
87,272,communication
88,490,geology
89,511,health science
90,449,fine art
91,670,medicine
92,225,business administrationmarketing
93,591,law
94,861,sociology
95,655,medical assistant
96,860,social work
97,517,history
98,637,maths
99,140,bachelor of science in nursing
100,460,foreign language
101,806,psychology
102,221,business
103,482,general education
104,3,aa degree
105,133,bachelor of science in chemical engineering
106,806,psychology
107,698,music
108,371,education
109,369,economics
110,174,biology
111,287,computer engineering
112,447,finance
113,770,political science
114,489,geography
115,542,human resources
116,497,graphic design
117,634,mathematics
118,325,culinary arts
119,371,education
120,156,bba
121,597,liberal arts
122,231,business management
123,726,nursing
124,507,health care administration
125,656,medical assisting
126,174,biology
127,894,teaching
128,325,culinary arts
129,703,music education
130,806,psychology
131,398,english
132,308,cosmetology
133,14,accounting
134,548,ict
135,68,associate in arts
136,486,general studies
137,14,accounting
138,770,political science
139,947,web development
140,634,mathematics
141,291,computer information systems
142,174,biology
143,860,social work
144,399,english and creative writing
145,844,science
146,806,psychology
147,901,textiles
148,905,theatre
149,233,business marketing
150,913,theology
151,907,theatre arts
152,495,graphic arts
153,609,lpn
154,726,nursing
155,566,interior design
156,855,social science
157,721,networking
158,308,cosmetology
159,726,nursing
160,359,early childhood development
161,603,linguistics
162,221,business
163,295,computer science
164,806,psychology
165,557,informatyka
166,150,ballb
167,65,arts
168,655,medical assistant
169,905,theatre
170,554,information technology
171,757,photography
172,398,english
173,603,linguistics
174,260,cis
175,223,business administration
176,247,chemistry
177,726,nursing
178,361,early childhood education
179,14,accounting
180,887,stuff
181,726,nursing
182,866,software engineering
183,123,bachelor of laws
184,614,management information systems
185,806,psychology
186,585,kinesiology
187,388,elementary education
188,480,general business administration
189,408,english literature
190,87,astronomy
191,931,veterinary technology
192,231,business management
193,195,bs electronics and communications engineering
194,868,spanish
195,497,graphic design
196,905,theatre
197,891,swaganomics
198,221,business
199,759,physical education
200,588,languages
201,436,fashion design
202,806,psychology
203,96,automotive technology
204,408,english literature
205,806,psychology
206,806,psychology
207,216,bsit
208,806,psychology
209,308,cosmetology
210,316,criminal justice
211,726,nursing
212,670,medicine
213,754,philosophy
214,542,human resources
215,279,communications
216,169,biochemistry and molecular biology
217,276,communication disorders
218,903,theater
219,905,theatre
220,247,chemistry
221,314,creative writing
222,670,medicine
223,783,pre-med
224,634,mathematics
225,425,european studies
226,754,philosophy
227,806,psychology
228,340,derecho
229,55,art
230,806,psychology
231,814,psycology
232,770,political science
233,450,fine arts
234,14,accounting
235,806,psychology
236,799,pseo
237,246,chemical engineering
238,634,mathematics
239,787,pre-nursing
240,726,nursing
241,752,phd
242,419,environmental science
243,140,bachelor of science in nursing
244,861,sociology
245,231,business management
246,570,international relations
247,531,hospitality management
248,89,athletic training
249,448,fine and performing arts
250,554,information technology
251,757,photography
252,531,hospitality management
253,773,politics
254,316,criminal justice
255,756,phlebotomy
256,14,accounting
257,531,hospitality management
258,99,b.com
259,726,nursing
260,698,music
261,806,psychology
262,630,materials science and engineering
263,546,humanities
264,754,philosophy
265,447,finance
266,876,speech-language pathology
267,868,spanish
268,528,honors
269,316,criminal justice
270,773,politics
271,703,music education
272,398,english
273,955,zarz?dzanie
274,806,psychology
275,497,graphic design
276,13,accountancy
277,763,physics
278,14,accounting
279,278,communication studies
280,295,computer science
281,223,business administration
282,517,history
283,221,business
284,450,fine arts
285,763,physics
286,530,hospitality
287,388,elementary education
288,72,associate of arts
289,231,business management
290,881,sports medicine
291,371,education
292,868,spanish
293,179,biomedical sciences
294,53,arquitectura
295,247,chemistry
296,335,defense against the dark arts
297,786,pre-medicine
298,490,geology
299,398,english
300,836,religious studies
301,561,interactive media design
302,868,spanish
303,185,bs accountancy
304,913,theology
305,517,history
306,204,bs mathematics
307,58,art education
308,726,nursing
309,72,associate of arts
310,295,computer science
